customer_id,first_order_date,last_order_date,total_orders,total_spent,region,signup_channel,device,is_subscribed,gender,age
C0041,2022-04-15,2022-12-11,1,189548,Bandung,Google Ads,Desktop,No,F,46
C0042,2022-04-05,2023-05-23,3,559464,Bandung,Google Ads,Mobile,No,F,34
C0043,2023-01-25,2023-05-27,1,209415,Medan,Organic,Desktop,No,M,33
C0044,2022-04-10,2023-11-14,10,2195720,Bandung,Instagram,Desktop,Yes,F,35
C0045,2023-01-03,2023-09-12,2,518588,Medan,Instagram,Mobile,Yes,M,49
C0046,2022-12-19,2024-08-02,5,521875,Medan,Email,Mobile,No,F,33
C0047,2023-09-11,2025-05-11,2,431468,Yogyakarta,Instagram,Mobile,Yes,M,35
C0048,2022-09-28,2022-11-07,3,275892,Jakarta,Referral,Desktop,Yes,F,46
C0049,2022-02-14,2023-11-10,3,565287,Medan,Instagram,Desktop,Yes,M,22
C0050,2023-04-16,2023-07-08,1,265710,Surabaya,Email,Tablet,Yes,M,36
C0051,2023-07-04,2024-09-05,15,4196070,Makassar,Instagram,Mobile,No,F,33
C0052,2022-05-08,2024-03-11,7,2037973,Jakarta,Referral,Desktop,No,M,35
C0053,2023-01-23,2024-09-11,10,1422150,Jakarta,Organic,Desktop,No,F,39
C0054,2022-03-22,2023-10-21,10,1440420,Jakarta,Email,Mobile,Yes,F,38
C0055,2023-07-20,2025-01-05,3,658068,Yogyakarta,Organic,Tablet,No,M,23
C0056,2022-10-28,2023-09-16,10,2788610,Medan,Organic,Mobile,No,F,26
C0057,2023-10-06,2024-06-29,1,290736,Yogyakarta,Organic,Tablet,Yes,F,27
C0058,2023-09-26,2024-04-22,1,168468,Medan,Google Ads,Desktop,Yes,F,32
C0059,2023-01-06,2024-11-21,1,267461,Yogyakarta,Google Ads,Tablet,No,F,42
C0060,2023-08-15,2025-08-17,2,168870,Yogyakarta,Organic,Desktop,No,F,27
C0061,2022-07-16,2023-06-02,2,520824,Makassar,Email,Mobile,No,M,31
C0062,2023-12-23,2024-08-23,2,500300,Surabaya,Referral,Mobile,No,F,22
C0063,2022-03-13,2022-12-09,7,1076824,Yogyakarta,Referral,Mobile,Yes,F,44
C0064,2022-02-16,2023-03-28,2,252586,Makassar,Instagram,Tablet,No,F,44
C0065,2023-11-09,2024-03-22,2,307562,Bandung,Email,Desktop,No,F,39
C0066,2022-08-22,2024-07-09,3,799425,Surabaya,Google Ads,Mobile,Yes,F,47
C0067,2022-10-24,2024-08-14,1,235196,Yogyakarta,Organic,Mobile,No,M,44
C0068,2022-03-23,2023-01-24,7,832433,Jakarta,Instagram,Desktop,Yes,F,21
C0069,2022-08-27,2023-12-08,1,241319,Bandung,Referral,Mobile,Yes,M,31
C0070,2022-04-14,2023-03-03,15,2942580,Bandung,Google Ads,Desktop,Yes,M,44
C0071,2023-01-25,2025-03-04,7,1188306,Makassar,Google Ads,Desktop,No,M,42
C0072,2022-10-12,2022-12-25,1,297819,Bandung,Organic,Desktop,No,M,19
C0073,2023-04-10,2023-04-19,1,268824,Surabaya,Referral,Desktop,Yes,F,42
C0074,2023-10-13,2025-01-24,7,921011,Yogyakarta,Email,Desktop,No,M,48
C0075,2023-01-09,2024-10-06,5,670505,Yogyakarta,Google Ads,Tablet,No,M,18
C0076,2022-06-16,2024-01-13,5,508230,Jakarta,Organic,Mobile,Yes,F,40
C0077,2023-01-15,2023-04-27,7,1254295,Makassar,Email,Tablet,Yes,F,37
C0078,2022-12-30,2023-03-15,1,98049,Jakarta,Referral,Mobile,No,F,42
C0079,2022-08-03,2024-02-04,2,571354,Bandung,Google Ads,Tablet,Yes,M,44
C0080,2023-11-18,2024-06-23,1,173116,Jakarta,Email,Desktop,No,F,32
C0081,2022-10-01,2024-03-02,10,1723790,Surabaya,Email,Mobile,No,F,49
C0082,2023-12-20,2024-09-16,5,716925,Yogyakarta,Email,Mobile,No,M,32
C0083,2023-12-01,2024-04-14,2,402262,Bandung,Google Ads,Tablet,No,F,35
C0084,2023-10-26,2024-10-17,1,246230,Jakarta,Google Ads,Tablet,Yes,F,45
C0085,2022-03-15,2022-05-24,2,542978,Makassar,Instagram,Mobile,Yes,F,49
C0086,2023-09-16,2024-05-23,2,196578,Surabaya,Referral,Tablet,Yes,F,19
C0087,2023-10-13,2024-10-25,5,926130,Surabaya,Organic,Tablet,Yes,M,42
C0088,2022-06-25,2023-04-12,5,878965,Jakarta,Email,Tablet,No,F,39
C0089,2023-07-01,2023-12-09,10,848230,Yogyakarta,Instagram,Desktop,No,F,43
C0090,2022-09-08,2023-11-30,3,798696,Jakarta,Organic,Desktop,Yes,M,28
C0091,2022-06-17,2023-12-25,1,116975,Bandung,Instagram,Tablet,No,F,47
C0092,2023-04-19,2025-04-08,5,422700,Jakarta,Google Ads,Tablet,No,M,26
C0093,2023-01-24,2023-11-29,7,639548,Surabaya,Email,Desktop,No,F,19
C0094,2022-10-04,2024-06-21,3,632049,Jakarta,Organic,Desktop,Yes,M,43
C0095,2023-10-18,2025-08-17,7,718641,Yogyakarta,Organic,Mobile,Yes,M,19
C0096,2023-12-06,2025-05-30,3,380973,Makassar,Organic,Mobile,Yes,M,23
C0097,2023-07-25,2023-08-02,3,791253,Medan,Organic,Desktop,No,M,45
C0098,2022-08-13,2024-06-26,2,358364,Jakarta,Organic,Tablet,Yes,F,26
C0099,2023-12-03,2025-06-22,1,237049,Yogyakarta,Instagram,Tablet,Yes,M,47
C0100,2022-11-29,2023-10-01,1,169704,Yogyakarta,Email,Tablet,Yes,F,29
C0101,2022-02-27,2024-01-07,1,124115,Makassar,Google Ads,Tablet,Yes,M,21
C0102,2022-08-23,2022-12-07,5,830035,Surabaya,Google Ads,Mobile,Yes,M,34
C0103,2022-02-02,2022-06-19,2,588590,Yogyakarta,Google Ads,Desktop,Yes,M,42
C0104,2022-11-20,2023-08-17,3,800886,Yogyakarta,Google Ads,Tablet,No,F,38
C0105,2023-02-15,2023-06-13,10,2724590,Yogyakarta,Instagram,Mobile,No,M,31
C0106,2022-10-02,2023-01-19,1,224143,Yogyakarta,Referral,Tablet,Yes,F,47
C0107,2022-03-09,2024-04-07,2,530694,Bandung,Email,Desktop,Yes,F,38
C0108,2022-08-05,2024-02-22,7,1949087,Bandung,Organic,Mobile,No,F,39
C0109,2023-08-04,2024-01-10,1,86938,Surabaya,Referral,Desktop,No,F,42
C0110,2022-11-19,2023-08-24,1,241267,Jakarta,Google Ads,Desktop,Yes,F,35
C0111,2022-08-06,2023-05-21,2,333360,Yogyakarta,Referral,Mobile,Yes,F,44
C0112,2023-11-03,2025-07-14,1,79000,Makassar,Email,Mobile,Yes,F,34
C0113,2023-05-27,2023-12-28,10,2766600,Jakarta,Organic,Mobile,Yes,F,23
C0114,2023-02-10,2025-02-13,7,1232294,Makassar,Organic,Mobile,No,F,48
C0115,2023-10-21,2024-10-06,5,843050,Jakarta,Email,Mobile,Yes,M,19
C0116,2023-04-15,2023-11-09,10,1786910,Surabaya,Email,Mobile,Yes,M,21
C0117,2022-05-27,2024-04-29,7,793128,Yogyakarta,Google Ads,Mobile,Yes,M,40
C0118,2022-09-29,2024-07-09,1,144449,Yogyakarta,Organic,Tablet,Yes,M,32
C0119,2022-05-23,2023-02-17,10,1579860,Medan,Referral,Desktop,No,M,22
C0120,2022-09-10,2024-02-09,3,887145,Makassar,Instagram,Mobile,No,F,20
C0121,2023-07-29,2024-12-10,7,1587852,Jakarta,Instagram,Tablet,No,F,19
C0122,2023-07-06,2024-03-19,10,1839400,Jakarta,Email,Tablet,Yes,F,33
C0123,2022-09-27,2022-11-18,2,584198,Bandung,Google Ads,Tablet,Yes,F,30
C0124,2023-08-22,2023-11-24,1,113494,Medan,Instagram,Desktop,No,F,19
C0125,2023-03-15,2024-12-23,1,78373,Bandung,Organic,Mobile,Yes,F,27
C0126,2023-08-21,2024-10-27,2,436466,Bandung,Email,Tablet,Yes,F,33
C0127,2023-02-13,2023-11-23,7,1207724,Bandung,Referral,Desktop,No,M,26
C0128,2023-01-06,2023-02-20,10,1676580,Makassar,Email,Desktop,No,M,48
C0129,2022-08-13,2022-08-16,1,198633,Makassar,Referral,Desktop,No,M,25
C0130,2022-05-22,2023-04-28,3,526158,Surabaya,Email,Tablet,No,M,31
C0131,2023-06-06,2025-08-03,2,204700,Surabaya,Email,Mobile,Yes,F,47
C0132,2023-05-21,2023-10-01,1,168008,Bandung,Email,Tablet,Yes,F,34
C0133,2022-04-04,2024-01-16,1,169297,Medan,Referral,Tablet,No,F,41
C0134,2022-02-18,2022-11-13,2,200702,Jakarta,Referral,Mobile,Yes,M,28
C0135,2022-04-23,2022-10-05,10,1636680,Makassar,Email,Mobile,No,F,25
C0136,2022-06-06,2024-07-04,2,379170,Medan,Instagram,Mobile,No,F,28
C0137,2023-10-05,2024-12-30,3,664131,Yogyakarta,Google Ads,Desktop,Yes,F,37
C0138,2022-06-13,2023-12-29,5,751765,Makassar,Google Ads,Mobile,No,M,24
C0139,2023-11-28,2025-11-19,2,565738,Makassar,Google Ads,Tablet,Yes,F,19
C0140,2023-03-09,2024-05-19,15,2114295,Surabaya,Referral,Mobile,Yes,M,37
C0141,2023-09-03,2025-03-30,15,1986870,Jakarta,Referral,Tablet,Yes,M,42
C0142,2022-03-07,2022-03-16,2,190716,Jakarta,Instagram,Desktop,Yes,M,43
C0143,2023-01-30,2023-05-24,3,234801,Yogyakarta,Google Ads,Tablet,No,M,30
C0144,2023-01-26,2023-04-13,2,315490,Yogyakarta,Google Ads,Tablet,Yes,F,22
C0145,2023-09-03,2025-08-10,2,329176,Makassar,Email,Mobile,No,M,33
C0146,2023-04-25,2023-09-24,1,113513,Bandung,Referral,Mobile,No,M,24
C0147,2023-06-26,2025-01-04,5,1160820,Surabaya,Google Ads,Tablet,No,F,37
C0148,2022-09-15,2022-10-21,3,259014,Surabaya,Instagram,Mobile,No,F,25
C0149,2023-07-21,2024-08-02,1,206484,Makassar,Instagram,Desktop,Yes,M,20
C0150,2022-01-12,2023-08-31,2,165086,Medan,Google Ads,Desktop,Yes,F,40
C0151,2023-11-28,2025-06-15,10,1808910,Bandung,Referral,Mobile,No,M,45
C0152,2022-04-28,2022-09-26,1,239568,Makassar,Instagram,Desktop,No,M,41
C0153,2023-11-30,2025-02-12,1,135692,Bandung,Email,Mobile,Yes,M,22
C0154,2023-07-04,2023-11-11,3,885468,Bandung,Instagram,Tablet,No,M,50
C0155,2022-10-01,2022-11-12,15,4484880,Bandung,Organic,Tablet,Yes,F,39
C0156,2023-10-19,2024-08-29,1,119425,Makassar,Organic,Desktop,No,M,18
C0157,2022-12-15,2023-12-23,5,568780,Surabaya,Referral,Mobile,Yes,F,44
C0158,2022-04-25,2022-06-04,7,657216,Surabaya,Google Ads,Mobile,No,F,49
C0159,2022-10-28,2023-10-29,1,241807,Bandung,Referral,Desktop,No,F,24
C0160,2023-03-22,2023-10-23,5,611475,Medan,Referral,Tablet,Yes,F,45
C0161,2022-06-11,2024-05-09,2,378704,Jakarta,Referral,Desktop,No,M,41
C0162,2023-04-10,2023-12-21,5,790210,Makassar,Referral,Tablet,No,F,47
C0163,2022-01-04,2023-11-17,5,804995,Jakarta,Email,Mobile,Yes,M,27
C0164,2022-09-27,2023-01-10,3,278865,Medan,Email,Tablet,No,F,45
C0165,2023-05-28,2024-05-24,1,112841,Makassar,Instagram,Desktop,Yes,F,29
C0166,2022-07-02,2024-09-07,7,1019480,Bandung,Organic,Mobile,Yes,M,35
C0167,2023-06-04,2024-12-28,2,543164,Surabaya,Referral,Desktop,No,M,48
C0168,2022-04-19,2023-06-09,1,240983,Jakarta,Instagram,Desktop,No,M,47
C0169,2023-10-03,2025-06-29,1,265103,Yogyakarta,Organic,Tablet,No,F,45
C0170,2022-11-02,2024-12-08,3,884394,Yogyakarta,Google Ads,Desktop,No,F,35
C0171,2023-10-17,2024-03-23,5,1067145,Medan,Email,Tablet,No,M,38
C0172,2023-06-04,2024-02-01,1,238551,Bandung,Organic,Mobile,No,M,33
C0173,2023-09-16,2024-02-29,3,409428,Jakarta,Google Ads,Tablet,No,M,23
C0174,2022-07-23,2023-01-20,1,119811,Bandung,Organic,Mobile,Yes,M,35
C0175,2022-06-06,2023-08-02,5,1211400,Jakarta,Email,Tablet,No,F,46
C0176,2023-01-18,2023-02-12,1,226222,Medan,Email,Desktop,Yes,M,33
C0177,2022-06-15,2022-12-15,5,730900,Medan,Instagram,Tablet,No,M,47
C0178,2023-07-07,2025-07-30,2,498716,Yogyakarta,Referral,Tablet,No,M,42
C0179,2023-06-28,2024-06-02,10,1878560,Bandung,Organic,Mobile,Yes,M,39
C0180,2022-01-01,2023-02-26,1,143450,Makassar,Organic,Desktop,No,F,19
C0181,2023-09-06,2025-07-22,2,454848,Yogyakarta,Google Ads,Tablet,No,M,49
C0182,2022-11-28,2024-12-19,1,261141,Bandung,Email,Desktop,Yes,F,38
C0183,2023-05-16,2024-01-25,10,1868880,Yogyakarta,Organic,Tablet,No,M,29
C0184,2022-01-20,2022-10-20,10,1854480,Makassar,Email,Tablet,No,M,49
C0185,2022-04-25,2022-10-05,2,178794,Surabaya,Organic,Desktop,No,F,31
C0186,2023-01-07,2024-12-25,5,1238135,Surabaya,Instagram,Tablet,Yes,M,40
C0187,2022-11-11,2023-03-01,7,1771217,Surabaya,Referral,Desktop,No,F,34
C0188,2022-09-03,2023-09-29,3,620400,Surabaya,Organic,Tablet,No,F,39
C0189,2022-03-01,2022-04-09,3,769767,Jakarta,Email,Mobile,No,M,35
C0190,2022-09-04,2023-12-29,1,194180,Surabaya,Instagram,Desktop,No,F,35
C0191,2023-08-04,2024-03-18,1,141234,Makassar,Organic,Tablet,Yes,F,18
C0192,2022-03-22,2022-10-12,10,1149540,Medan,Google Ads,Tablet,Yes,F,30
C0193,2022-03-29,2023-07-13,10,2533520,Medan,Referral,Mobile,No,F,23
C0194,2023-05-13,2024-05-05,5,772295,Jakarta,Organic,Desktop,No,F,33
C0195,2022-03-12,2023-01-18,2,445702,Surabaya,Instagram,Tablet,Yes,F,44
C0196,2023-06-30,2024-02-18,2,540008,Surabaya,Google Ads,Mobile,Yes,F,49
C0197,2022-05-09,2022-12-23,5,1395040,Surabaya,Instagram,Tablet,No,F,33
C0198,2022-05-12,2022-06-05,10,2305380,Yogyakarta,Instagram,Desktop,Yes,M,48
C0199,2023-11-07,2025-09-12,10,2430110,Bandung,Google Ads,Tablet,No,M,49
C0200,2023-05-02,2023-11-15,7,1931776,Yogyakarta,Instagram,Tablet,Yes,F,46
C0201,2023-07-17,2024-08-28,5,1206710,Bandung,Google Ads,Tablet,Yes,M,19
C0202,2022-06-19,2023-05-21,1,134163,Surabaya,Organic,Tablet,Yes,F,23
C0203,2022-09-29,2023-07-11,1,288709,Surabaya,Google Ads,Mobile,Yes,F,36
C0204,2023-06-25,2023-09-04,10,1269340,Yogyakarta,Google Ads,Mobile,No,M,32
C0205,2023-09-14,2025-11-13,5,1354835,Yogyakarta,Referral,Desktop,Yes,F,43
C0206,2023-03-10,2023-12-20,1,238379,Bandung,Google Ads,Mobile,Yes,F,33
C0207,2022-08-05,2023-07-30,1,129098,Medan,Google Ads,Mobile,No,F,37
C0208,2023-07-07,2025-04-23,5,1334965,Bandung,Organic,Desktop,Yes,F,41
C0209,2023-12-08,2025-05-12,1,80486,Yogyakarta,Referral,Mobile,Yes,M,48
C0210,2022-07-25,2023-09-07,1,214407,Makassar,Email,Mobile,No,F,40
C0211,2024-01-01,2025-11-26,3,485700,Yogyakarta,Organic,Desktop,Yes,F,45
C0212,2022-11-16,2024-05-18,5,1005100,Makassar,Organic,Desktop,No,F,39
C0213,2023-02-13,2024-01-18,5,888975,Jakarta,Email,Desktop,No,M,40
C0214,2023-11-19,2023-12-17,1,295184,Yogyakarta,Google Ads,Tablet,No,F,47
C0215,2023-10-28,2024-02-23,5,1086010,Jakarta,Instagram,Tablet,No,M,35
C0216,2023-01-18,2023-10-12,1,162508,Medan,Referral,Desktop,Yes,M,37
C0217,2023-03-25,2023-09-23,2,386648,Bandung,Instagram,Desktop,No,F,34
C0218,2023-06-14,2025-01-28,5,677830,Makassar,Email,Desktop,Yes,F,32
C0219,2023-04-08,2024-01-04,5,1363875,Bandung,Organic,Tablet,Yes,M,25
C0220,2022-05-04,2022-06-12,7,715344,Jakarta,Organic,Tablet,Yes,F,30
C0221,2022-09-11,2022-12-31,5,380310,Makassar,Referral,Mobile,Yes,M,38
C0222,2022-08-19,2024-04-20,3,477228,Bandung,Organic,Mobile,Yes,M,25
C0223,2022-03-07,2023-05-25,1,164780,Yogyakarta,Organic,Desktop,Yes,F,29
C0224,2022-12-13,2023-12-01,2,455234,Surabaya,Referral,Tablet,Yes,F,30
C0225,2022-01-22,2024-02-07,2,193378,Jakarta,Referral,Tablet,Yes,M,31
C0226,2023-08-26,2024-07-12,1,86174,Bandung,Email,Tablet,Yes,M,48
C0227,2023-07-22,2024-10-10,15,2451915,Jakarta,Organic,Desktop,Yes,M,35
C0228,2022-08-24,2024-05-05,2,402348,Jakarta,Organic,Mobile,No,M,36
C0229,2023-08-26,2025-01-30,10,1780330,Makassar,Email,Desktop,No,F,24
C0230,2022-08-14,2022-12-10,5,421740,Makassar,Google Ads,Mobile,No,F,30
C0231,2022-01-08,2023-02-06,7,1608502,Surabaya,Google Ads,Mobile,Yes,F,36
C0232,2022-03-14,2023-10-25,3,339306,Yogyakarta,Google Ads,Desktop,No,F,32
C0233,2023-12-26,2024-07-07,3,448380,Jakarta,Email,Mobile,No,F,41
C0234,2023-10-09,2024-06-25,3,532902,Bandung,Organic,Mobile,No,M,29
C0235,2022-03-02,2022-04-16,1,164930,Medan,Email,Tablet,Yes,F,37
C0236,2022-08-23,2024-08-17,5,409005,Jakarta,Email,Mobile,Yes,F,18
C0237,2022-03-11,2023-05-31,2,356300,Jakarta,Google Ads,Desktop,Yes,F,26
C0238,2022-02-02,2022-02-03,1,278339,Surabaya,Instagram,Desktop,Yes,F,35
C0239,2022-12-05,2024-05-20,5,1271040,Yogyakarta,Organic,Mobile,No,F,20
C0240,2022-03-14,2023-09-16,1,229697,Medan,Google Ads,Tablet,No,M,21
C0241,2023-06-11,2025-05-14,10,2889450,Makassar,Instagram,Tablet,No,M,36
C0242,2022-09-01,2024-09-06,15,4179960,Makassar,Instagram,Mobile,No,M,26
C0243,2022-10-13,2024-11-10,10,2831240,Bandung,Referral,Mobile,Yes,F,49
C0244,2023-11-17,2025-12-10,2,500666,Medan,Organic,Desktop,Yes,M,24
C0245,2023-05-13,2025-03-29,1,76542,Makassar,Instagram,Mobile,Yes,M,18
C0246,2022-08-08,2023-02-25,10,966770,Bandung,Google Ads,Tablet,No,F,36
C0247,2023-07-07,2024-07-13,2,505608,Yogyakarta,Referral,Mobile,Yes,F,48
C0248,2022-05-16,2023-07-31,15,3846225,Bandung,Organic,Desktop,Yes,F,48
C0249,2023-08-08,2023-10-18,15,1711215,Makassar,Email,Desktop,No,M,46
C0250,2023-08-14,2025-06-24,10,2689280,Surabaya,Google Ads,Desktop,No,M,39
C0251,2023-04-30,2024-04-02,2,336210,Surabaya,Instagram,Desktop,Yes,F,29
C0252,2022-09-06,2024-06-05,2,589860,Surabaya,Instagram,Desktop,Yes,F,21
C0253,2023-04-30,2024-03-16,10,940650,Makassar,Google Ads,Mobile,Yes,M,34
C0254,2023-02-21,2024-12-31,2,579064,Surabaya,Instagram,Mobile,Yes,M,48
C0255,2022-07-14,2022-11-18,1,163092,Medan,Referral,Mobile,Yes,F,25
C0256,2022-04-07,2024-04-13,3,389079,Yogyakarta,Organic,Mobile,Yes,F,22
C0257,2022-04-10,2023-02-11,10,1019620,Bandung,Referral,Desktop,No,M,43
C0258,2023-11-06,2025-04-08,5,516475,Bandung,Instagram,Tablet,No,F,49
C0259,2023-03-18,2024-01-28,3,266421,Makassar,Email,Mobile,No,M,22
C0260,2022-12-29,2024-11-10,1,248420,Surabaya,Organic,Tablet,Yes,M,21
C0261,2023-03-10,2024-05-01,5,1162520,Surabaya,Organic,Mobile,No,M,27
C0262,2023-02-25,2024-01-25,15,4340355,Jakarta,Google Ads,Mobile,Yes,M,27
C0263,2023-04-24,2024-06-09,1,297864,Yogyakarta,Google Ads,Tablet,Yes,F,37
C0264,2022-02-25,2024-02-08,3,791778,Medan,Email,Desktop,No,F,23
C0265,2023-11-21,2024-09-18,10,2463340,Bandung,Organic,Mobile,Yes,M,33
C0266,2023-11-01,2025-05-21,5,1215760,Jakarta,Email,Mobile,Yes,M,25
C0267,2023-10-24,2024-03-02,5,1036980,Jakarta,Google Ads,Mobile,No,M,44
C0268,2022-04-11,2022-10-24,5,831335,Makassar,Google Ads,Tablet,No,M,32
C0269,2022-03-04,2023-05-08,2,483962,Bandung,Organic,Desktop,No,M,42
C0270,2023-02-17,2024-12-28,2,590822,Makassar,Referral,Tablet,Yes,F,46
C0271,2022-12-14,2024-01-06,7,664090,Medan,Instagram,Tablet,No,F,46
C0272,2022-04-22,2024-03-15,7,1684550,Jakarta,Google Ads,Desktop,No,F,37
C0273,2022-09-12,2024-10-17,10,2781960,Jakarta,Google Ads,Tablet,Yes,F,45
C0274,2022-07-16,2023-01-10,10,1017900,Yogyakarta,Referral,Desktop,No,M,37
C0275,2022-07-14,2024-04-04,3,581622,Medan,Referral,Mobile,No,M,21
C0276,2023-07-04,2025-02-05,3,300867,Jakarta,Email,Desktop,No,M,24
C0277,2023-04-05,2024-02-07,7,1828407,Medan,Email,Mobile,Yes,M,31
C0278,2022-05-24,2023-07-13,5,1498930,Bandung,Instagram,Tablet,Yes,M,31
C0279,2023-03-09,2024-09-20,5,452425,Surabaya,Instagram,Tablet,Yes,F,34
C0280,2022-07-07,2022-07-07,7,836374,Jakarta,Organic,Mobile,Yes,M,23
C0281,2022-10-13,2023-08-20,10,1611880,Yogyakarta,Email,Tablet,No,F,28
C0282,2023-04-19,2024-02-06,2,159496,Bandung,Google Ads,Desktop,Yes,F,33
C0283,2022-09-13,2023-04-16,2,585682,Medan,Email,Mobile,Yes,F,29
C0284,2022-03-19,2023-06-02,1,215507,Makassar,Google Ads,Tablet,No,F,22
C0285,2023-03-30,2024-11-12,3,236127,Bandung,Referral,Mobile,No,M,28
C0286,2023-07-18,2025-03-30,1,198961,Jakarta,Email,Desktop,No,F,18
C0287,2022-04-11,2024-02-10,3,316065,Medan,Referral,Desktop,Yes,F,44
C0288,2022-02-21,2023-01-16,3,785529,Surabaya,Instagram,Tablet,Yes,F,46
C0289,2023-10-30,2025-02-17,2,527742,Bandung,Instagram,Desktop,Yes,M,48
C0290,2023-07-08,2024-10-02,3,657564,Jakarta,Organic,Mobile,No,M,36
C0291,2022-01-16,2023-04-13,1,231542,Yogyakarta,Email,Desktop,No,M,20
C0292,2022-04-06,2024-02-26,1,248416,Makassar,Referral,Mobile,Yes,F,32
C0293,2022-08-31,2023-04-06,7,825426,Medan,Google Ads,Mobile,No,F,36
C0294,2022-06-20,2023-11-25,2,254448,Bandung,Instagram,Desktop,No,M,36
C0295,2023-02-21,2024-06-19,1,114298,Bandung,Instagram,Tablet,No,F,47
C0296,2023-05-13,2025-06-04,3,465657,Surabaya,Google Ads,Desktop,Yes,M,22
C0297,2023-05-08,2023-10-28,7,956403,Surabaya,Referral,Mobile,No,M,32
C0298,2022-08-07,2024-06-11,1,141040,Yogyakarta,Referral,Mobile,No,F,34
C0299,2023-02-15,2023-05-12,5,515080,Makassar,Email,Desktop,Yes,F,30
C0300,2022-03-02,2022-12-17,1,98960,Yogyakarta,Email,Tablet,Yes,F,45
